City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
205,Bowen,AU,-20.02,148.23,66.2,88,60,3.36,broken clouds
206,Talnakh,RU,69.49,88.4,17.6,92,90,22.37,snow
207,Oussouye,SN,12.48,-16.55,78.8,78,0,2.24,clear sky
208,Avera,US,33.19,-82.53,48.2,66,90,21.92,overcast clouds
209,Geraldton,AU,-28.77,114.6,51.8,66,0,8.05,clear sky
210,Beruwala,LK,6.48,79.98,76.98,87,100,7.85,overcast clouds
211,Pabna,BD,24.0,89.25,66.88,61,0,6.29,clear sky
212,Batsfjord,NO,70.63,29.72,30.2,86,20,48.32,few clouds
213,Tuatapere,NZ,-46.13,167.68,51.01,81,6,3.0,clear sky
214,Chokurdakh,RU,70.63,147.92,-8.88,89,88,14.0,overcast clouds
215,Tiznit,MA,29.58,-9.5,60.75,56,100,8.28,overcast clouds
216,Mombetsu,JP,44.35,143.35,30.0,73,89,5.99,overcast clouds
217,Syasstroy,RU,60.14,32.57,32.49,92,98,14.45,overcast clouds
218,Atambua,ID,-9.11,124.89,75.65,79,100,2.08,overcast clouds
219,Lao Cai,VN,22.48,103.95,58.51,82,40,0.31,scattered clouds
220,Safranbolu,TR,41.25,32.69,40.75,60,96,0.94,overcast clouds
221,Conakry,GN,9.54,-13.68,82.81,73,62,7.56,broken clouds
222,Trincomalee,LK,8.57,81.23,80.76,80,100,18.61,light rain
223,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,14.0,92,94,6.71,overcast clouds
224,Turbiv,UA,49.35,28.72,26.83,97,0,4.5,clear sky
225,Naze,JP,28.37,129.48,66.2,77,75,21.92,broken clouds
226,Vila Velha,BR,-20.33,-40.29,82.4,69,20,18.34,few clouds
227,Minot,US,48.23,-101.3,46.4,33,1,8.05,clear sky
228,Samarai,PG,-10.62,150.67,81.45,84,100,11.34,overcast clouds
229,Gasa,PS,31.5,34.47,60.8,77,20,5.82,few clouds
230,Beloha,MG,-25.17,45.05,71.02,93,86,3.89,overcast clouds
231,Beboto,TD,8.27,16.94,76.78,34,30,3.44,scattered clouds
232,Ewa Beach,US,21.32,-158.01,78.8,61,1,4.7,clear sky
233,Luzhou,CN,28.87,105.44,52.23,71,100,4.14,overcast clouds
234,Severomorsk,RU,69.07,33.42,28.4,79,40,8.95,scattered clouds
235,Abay,KZ,49.63,72.85,-14.8,68,0,6.71,clear sky
236,Ciudad Bolivar,VE,8.12,-63.55,90.64,48,62,8.19,broken clouds
237,Manzanillo,CU,20.34,-77.12,83.46,56,1,3.02,clear sky
238,Camacha,PT,33.08,-16.33,62.6,72,75,21.92,broken clouds
239,Seoul,KR,37.57,126.98,30.2,46,1,2.68,clear sky
240,Tokoroa,NZ,-38.23,175.87,60.01,86,76,5.99,broken clouds
241,Zhanaozen,KZ,43.3,52.8,32.07,85,100,18.48,overcast clouds
242,Saryozek,KZ,44.36,77.98,11.97,89,0,4.72,clear sky
243,Pandamatenga,BW,-18.53,25.63,72.86,78,79,5.14,light rain
244,Neyvo-Shaytanskiy,RU,57.73,61.25,13.93,93,0,4.63,clear sky
245,Mayo,US,38.89,-76.51,63.0,100,90,5.82,moderate rain
246,Manokwari,ID,-0.87,134.08,79.97,77,100,4.45,light rain
247,Kudahuvadhoo,MV,2.67,72.89,82.85,68,45,5.95,scattered clouds
248,Jiuquan,CN,39.74,98.52,20.21,82,100,2.86,overcast clouds
249,Hofn,IS,64.25,-15.21,32.0,80,75,6.93,shower rain
250,Wonthaggi,AU,-38.6,145.59,70.0,68,72,10.94,broken clouds
251,Aklavik,CA,68.22,-135.01,-7.6,83,40,1.66,scattered clouds
252,Dunedin,NZ,-45.87,170.5,54.0,63,6,8.01,clear sky
253,Tasiilaq,GL,65.61,-37.64,26.6,79,100,19.46,snow
254,Katobu,ID,-4.94,122.53,77.2,86,100,1.39,overcast clouds
255,Baglung,NP,28.27,83.59,53.69,48,0,4.21,clear sky
256,The Pas,CA,53.83,-101.25,21.2,73,1,13.87,clear sky
257,Ous,RU,60.91,61.52,13.82,94,6,4.88,clear sky
258,Dombas,NO,62.07,9.12,23.79,91,57,6.73,broken clouds
259,Tchollire,CM,8.4,14.17,76.71,31,13,0.92,few clouds
260,La Ronge,CA,55.1,-105.28,26.6,63,89,4.7,overcast clouds
261,Granadilla De Abona,ES,28.12,-16.58,68.0,77,40,10.29,scattered clouds
262,Warrnambool,AU,-38.38,142.48,68.0,65,100,4.0,overcast clouds
263,Kralendijk,BQ,12.15,-68.27,84.2,79,75,14.99,broken clouds
264,Ulladulla,AU,-35.35,150.47,62.01,100,2,9.75,clear sky
265,Boende,CD,-0.22,20.87,76.06,68,40,0.16,scattered clouds
266,Olafsvik,IS,64.89,-23.71,32.0,98,100,26.4,snow
267,Alberton,CA,46.82,-64.07,42.8,80,100,16.11,overcast clouds
268,Skorodnoye,RU,51.07,37.23,33.8,91,90,8.95,overcast clouds
269,Lima,PE,-12.04,-77.03,71.6,68,75,9.17,broken clouds
270,Ojinaga,MX,29.57,-104.42,53.6,25,1,4.7,clear sky
271,Kahului,US,20.89,-156.47,78.8,57,20,9.17,few clouds
272,Pokhara,NP,28.23,83.98,56.88,45,0,3.4,clear sky
273,Goderich,CA,43.75,-81.72,35.6,93,100,17.22,overcast clouds
274,Dicabisagan,PH,17.08,122.42,74.59,83,97,16.24,light rain
275,Namibe,AO,-15.2,12.15,71.8,70,60,8.41,broken clouds
276,Cartagena,CO,10.4,-75.51,80.6,100,40,8.05,shower rain
277,Atagay,RU,55.1,99.39,15.82,91,100,4.59,overcast clouds
278,Bemidji,US,47.47,-94.88,28.4,54,1,10.29,clear sky
279,Borovskiy,RU,57.04,65.72,-0.4,84,0,4.47,clear sky
280,Tancanhuitz,MX,21.6,-98.97,57.56,62,100,5.77,overcast clouds
281,Taitung,TW,22.76,121.14,69.33,78,94,15.32,overcast clouds
282,Lloydminster,CA,53.28,-110.0,26.6,63,75,11.41,broken clouds
283,Vila,PT,42.03,-8.16,50.0,81,1,4.0,clear sky
284,Muroto,JP,33.28,134.15,54.03,64,5,10.51,clear sky
285,Oyama,JP,36.3,139.8,50.0,86,20,5.82,few clouds
286,Codrington,AU,-38.27,141.97,67.59,60,100,21.92,light rain
287,Ilulissat,GL,69.22,-51.1,17.6,52,75,10.29,broken clouds
288,Havelock,US,34.88,-76.9,71.01,85,49,17.09,scattered clouds
289,Uarini,BR,-2.99,-65.11,89.6,62,20,2.73,few clouds
290,Cheney,US,47.49,-117.58,34.0,79,90,17.22,mist
291,Nome,US,64.5,-165.41,5.0,77,90,3.36,overcast clouds
292,Madimba,TZ,-10.4,40.33,80.6,83,40,8.05,scattered clouds
293,Kysyl-Syr,RU,63.9,122.76,-8.1,90,84,5.61,broken clouds
294,Paamiut,GL,61.99,-49.67,29.12,88,100,25.9,overcast clouds
295,Portland,US,45.52,-122.68,51.01,70,90,6.93,moderate rain
296,Altamira,BR,-3.2,-52.21,82.4,78,75,3.22,broken clouds
297,Kannur,IN,11.87,75.36,77.0,94,20,2.24,mist
298,San Cristobal,VE,7.77,-72.22,76.87,64,86,5.26,light rain
299,Portales,US,34.19,-103.33,48.99,24,1,21.92,clear sky
300,Jadu,LY,31.95,12.03,51.53,98,0,2.48,clear sky
